AVX2 gather versus scalar permutation (median cycles/copy)
       N     vgatherdpd   scalar loads  scalar gain
      16         21.920         19.582       11.94%
      32         39.086         36.140        8.15%
      64         76.570         70.956        7.91%
     128        149.790        140.791        6.39%
     256        290.042        293.031       -1.02%
     512        596.639        617.718       -3.41%
    1024       1163.162       1181.349       -1.54%
    2048       2302.807       2387.592       -3.55%
    4096       5191.570       5823.713      -10.85%
    8192      19720.275      23538.035      -16.22%
