       N      vgather       scalar      penalty
      16       21.812       19.620        11.2%
      32       39.900       37.024         7.8%
      64       76.293       72.317         5.5%
     128      149.210      141.637         5.3%
     256      292.472      284.437         2.8%
     512      585.554      609.599        -3.9%
    1024     1157.802     1178.290        -1.7%
    2048     2300.082     2407.394        -4.5%
    4096     5437.767     5813.851        -6.5%
    8192    20764.210    23312.331       -10.9%
