Lane4 comparison cycles/execute (median; public in-place API)
         N algorithm           median cycles   iterations
        16 lane4-avx                  51.033       131072
        16 lane4-avx-fma              47.933       131072
        16 lane4-avx2                 52.137       131072
        16 lane4-avx2-fma             51.161       131072
        16 lane4-sse                  77.053       131072
        16 ffmpeg-avtx               108.700       131072
        32 lane4-avx                  83.983        65536
        32 lane4-avx-fma              78.907        65536
        32 lane4-avx2                 76.651        65536
        32 lane4-avx2-fma             77.370        65536
        32 lane4-sse                 144.748        65536
        32 ffmpeg-avtx               140.919        65536
        64 lane4-avx                 162.967        32768
        64 lane4-avx-fma             150.929        32768
        64 lane4-avx2                170.500        32768
        64 lane4-avx2-fma            155.702        32768
        64 lane4-sse                 289.679        32768
        64 ffmpeg-avtx               295.344        32768
       128 lane4-avx                 326.543        16384
       128 lane4-avx-fma             318.470        16384
       128 lane4-avx2                314.554        16384
       128 lane4-avx2-fma            306.247        16384
       128 lane4-sse                 729.079        16384
       128 ffmpeg-avtx               538.163        16384
       256 lane4-avx                 675.381         8192
       256 lane4-avx-fma             630.867         8192
       256 lane4-avx2                651.101         8192
       256 lane4-avx2-fma            611.761         8192
       256 lane4-sse                1264.407         8192
       256 ffmpeg-avtx              1091.594         8192
       512 lane4-avx                1466.492         4096
       512 lane4-avx-fma            1404.190         4096
       512 lane4-avx2               1481.252         4096
       512 lane4-avx2-fma           1406.954         4096
       512 lane4-sse                2941.558         4096
       512 ffmpeg-avtx              2411.065         4096
      1024 lane4-avx                3485.404         2048
      1024 lane4-avx-fma            3271.024         2048
      1024 lane4-avx2               3551.042         2048
      1024 lane4-avx2-fma           3246.916         2048
      1024 lane4-sse                6196.388         2048
      1024 ffmpeg-avtx              8486.050         2048
      2048 lane4-avx               12918.111         1024
      2048 lane4-avx-fma           12216.148         1024
      2048 lane4-avx2              11635.068         1024
      2048 lane4-avx2-fma          10177.691         1024
      2048 lane4-sse               14831.266         1024
      2048 ffmpeg-avtx             16641.109         1024
      4096 lane4-avx               23882.406          512
      4096 lane4-avx-fma           22698.957          512
      4096 lane4-avx2              23425.762          512
      4096 lane4-avx2-fma          20827.074          512
      4096 lane4-sse               32855.391          512
      4096 ffmpeg-avtx             32491.352          512
      8192 lane4-avx               51378.711          256
      8192 lane4-avx-fma           48948.695          256
      8192 lane4-avx2              50784.602          256
      8192 lane4-avx2-fma          49328.312          256
      8192 lane4-sse               82154.062          256
      8192 ffmpeg-avtx             71496.758          256
