Lane4 comparison cycles/execute (median; public in-place API)
         N algorithm           median cycles   iterations
        16 lane4-avx                  49.918       131072
        16 lane4-avx-fma              47.191       131072
        16 lane4-avx2                 47.477       131072
        16 lane4-avx2-fma             47.891       131072
        16 lane4-sse                  70.352       131072
        16 ffmpeg-avtx                97.431       131072
        32 lane4-avx                  81.439        65536
        32 lane4-avx-fma              79.161        65536
        32 lane4-avx2                 81.170        65536
        32 lane4-avx2-fma             80.269        65536
        32 lane4-sse                 152.424        65536
        32 ffmpeg-avtx               150.202        65536
        64 lane4-avx                 172.957        32768
        64 lane4-avx-fma             170.612        32768
        64 lane4-avx2                171.025        32768
        64 lane4-avx2-fma            152.706        32768
        64 lane4-sse                 304.416        32768
        64 ffmpeg-avtx               288.722        32768
       128 lane4-avx                 324.480        16384
       128 lane4-avx-fma             318.639        16384
       128 lane4-avx2                333.413        16384
       128 lane4-avx2-fma            314.277        16384
       128 lane4-sse                 629.902        16384
       128 ffmpeg-avtx               510.354        16384
       256 lane4-avx                 699.618         8192
       256 lane4-avx-fma             639.472         8192
       256 lane4-avx2                670.102         8192
       256 lane4-avx2-fma            621.938         8192
       256 lane4-sse                1306.005         8192
       256 ffmpeg-avtx              1126.967         8192
       512 lane4-avx                1502.224         4096
       512 lane4-avx-fma            1445.078         4096
       512 lane4-avx2               1514.404         4096
       512 lane4-avx2-fma           1429.429         4096
       512 lane4-sse                3065.511         4096
       512 ffmpeg-avtx              2414.142         4096
      1024 lane4-avx                3725.856         2048
      1024 lane4-avx-fma            3480.924         2048
      1024 lane4-avx2               3529.731         2048
      1024 lane4-avx2-fma           3337.976         2048
      1024 lane4-sse                6436.744         2048
      1024 ffmpeg-avtx              5543.365         2048
      2048 lane4-avx                9455.801         1024
      2048 lane4-avx-fma            9614.547         1024
      2048 lane4-avx2               9683.025         1024
      2048 lane4-avx2-fma           9083.559         1024
      2048 lane4-sse               15553.521         1024
      2048 ffmpeg-avtx             12738.740         1024
      4096 lane4-avx               22897.805          512
      4096 lane4-avx-fma           22502.742          512
      4096 lane4-avx2              24592.555          512
      4096 lane4-avx2-fma          22075.527          512
      4096 lane4-sse               33374.633          512
      4096 ffmpeg-avtx             30461.219          512
      8192 lane4-avx               55520.391          256
      8192 lane4-avx-fma           50030.953          256
      8192 lane4-avx2              51377.906          256
      8192 lane4-avx2-fma          49317.164          256
      8192 lane4-sse               80085.219          256
      8192 ffmpeg-avtx             73678.539          256
