       N algorithm                median      minimum      maximum     spread
      16 lane4-avx                47.968       46.253       51.033     10.33%
      16 lane4-avx-fma            46.427       45.607       47.933      5.10%
      16 lane4-avx2               47.017       43.252       52.137     20.54%
      16 lane4-avx2-fma           47.026       46.240       51.161     10.64%
      16 lane4-sse                71.059       67.290       77.053     14.51%
      16 ffmpeg-avtx              92.231       89.477      108.700     21.48%
      32 lane4-avx                77.513       75.319       83.983     11.50%
      32 lane4-avx-fma            78.841       77.671       79.400      2.23%
      32 lane4-avx2               77.331       76.273       82.359      7.98%
      32 lane4-avx2-fma           77.559       75.667       77.831      2.86%
      32 lane4-sse               144.772      142.430      149.203      4.76%
      32 ffmpeg-avtx             140.977      137.041      147.283      7.47%
      64 lane4-avx               163.234      160.598      167.523      4.31%
      64 lane4-avx-fma           158.815      150.929      169.335     12.20%
      64 lane4-avx2              165.975      159.132      170.500      7.14%
      64 lane4-avx2-fma          155.707      153.457      162.868      6.13%
      64 lane4-sse               294.317      289.679      303.129      4.64%
      64 ffmpeg-avtx             284.525      280.055      295.344      5.46%
     128 lane4-avx               325.812      315.838      329.787      4.42%
     128 lane4-avx-fma           317.701      308.490      319.859      3.69%
     128 lane4-avx2              320.226      314.554      375.830     19.48%
     128 lane4-avx2-fma          305.356      301.689      313.474      3.91%
     128 lane4-sse               640.389      608.372      729.079     19.84%
     128 ffmpeg-avtx             511.212      501.827      538.163      7.24%
     256 lane4-avx               688.861      675.381      704.285      4.28%
     256 lane4-avx-fma           627.637      619.292      645.088      4.17%
     256 lane4-avx2              660.839      643.344      667.872      3.81%
     256 lane4-avx2-fma          620.549      611.761      648.045      5.93%
     256 lane4-sse              1299.697     1253.186     1351.861      7.87%
     256 ffmpeg-avtx            1102.490     1087.198     1706.973     57.01%
     512 lane4-avx              1503.823     1466.492     1559.004      6.31%
     512 lane4-avx-fma          1435.953     1404.190     1521.842      8.38%
     512 lane4-avx2             1518.837     1481.252     1550.309      4.66%
     512 lane4-avx2-fma         1431.290     1401.511     1442.205      2.90%
     512 lane4-sse              2981.628     2941.558     3279.188     11.48%
     512 ffmpeg-avtx            2346.023     2320.730     2411.065      3.89%
    1024 lane4-avx              3504.131     3480.791     3631.922      4.34%
    1024 lane4-avx-fma          3298.692     3258.049     3348.771      2.78%
    1024 lane4-avx2             3547.435     3505.423     3639.324      3.82%
    1024 lane4-avx2-fma         3305.200     3246.916     3354.094      3.30%
    1024 lane4-sse              6193.070     6105.014     6503.870      6.53%
    1024 ffmpeg-avtx            5470.529     5370.170     8486.050     58.02%
    2048 lane4-avx              9483.587     9031.531    12918.111     43.03%
    2048 lane4-avx-fma          9046.219     8701.723    12216.148     40.39%
    2048 lane4-avx2             9448.115     8620.355    11635.068     34.97%
    2048 lane4-avx2-fma         8996.316     8904.705    10177.691     14.30%
    2048 lane4-sse             14844.281    14194.961    15413.770      8.59%
    2048 ffmpeg-avtx           12406.971    11907.383    16641.109     39.75%
    4096 lane4-avx             21904.925    21622.207    23882.406     10.45%
    4096 lane4-avx-fma         21741.332    20900.812    22698.957      8.60%
    4096 lane4-avx2            22176.593    21301.922    23425.762      9.97%
    4096 lane4-avx2-fma        21352.408    20827.074    21975.145      5.51%
    4096 lane4-sse             32493.117    31788.910    33589.723      5.66%
    4096 ffmpeg-avtx           30706.416    29324.578    32491.352     10.80%
    8192 lane4-avx             50223.196    47840.367    51378.711      7.40%
    8192 lane4-avx-fma         49059.215    48607.711    50257.297      3.39%
    8192 lane4-avx2            51406.883    50498.703    52784.461      4.53%
    8192 lane4-avx2-fma        49826.054    48381.820    53918.219     11.44%
    8192 lane4-sse             75485.277    73752.297    82154.062     11.39%
    8192 ffmpeg-avtx           71598.027    70226.773    80378.617     14.46%
