       N best AVX             AVX cycles       FFmpeg   AVX gain   SSE cycles   SSE gain
      16 lane4-avx-fma            46.427       92.231      49.7%       71.059      23.0%
      32 lane4-avx2               77.331      140.977      45.1%      144.772      -2.7%
      64 lane4-avx2-fma          155.707      284.525      45.3%      294.317      -3.4%
     128 lane4-avx2-fma          305.356      511.212      40.3%      640.389     -25.3%
     256 lane4-avx2-fma          620.549     1102.490      43.7%     1299.697     -17.9%
     512 lane4-avx2-fma         1431.290     2346.023      39.0%     2981.628     -27.1%
    1024 lane4-avx-fma          3298.692     5470.529      39.7%     6193.070     -13.2%
    2048 lane4-avx2-fma         8996.316    12406.971      27.5%    14844.281     -19.6%
    4096 lane4-avx2-fma        21352.408    30706.416      30.5%    32493.117      -5.8%
    8192 lane4-avx-fma         49059.215    71598.027      31.5%    75485.277      -5.4%
