FFT cycles/execute (median; public in-place API)
         N algorithm           median cycles   iterations
        16 lane4-avx2-fma             47.716       131072
        16 lane2-sse                  61.738       131072
        16 lane4-sse                  67.011       131072
        16 hw-sse-auto                64.993       131072
        16 tangent-x86-asm            66.341       131072
        16 tangent-sse               175.094       131072
        16 tangent-sse3              173.711       131072
        16 ffmpeg-avtx                93.507       131072
        16 ffmpeg-sse                213.472       131072
        32 lane4-avx2-fma             77.406        65536
        32 lane2-sse                 130.246        65536
        32 lane4-sse                 141.367        65536
        32 hw-sse-auto               141.204        65536
        32 tangent-x86-asm           135.672        65536
        32 tangent-sse               337.941        65536
        32 tangent-sse3              332.961        65536
        32 ffmpeg-avtx               139.643        65536
        32 ffmpeg-sse                530.997        65536
        64 lane4-avx2-fma            154.179        32768
        64 lane2-sse                 260.009        32768
        64 lane4-sse                 294.575        32768
        64 hw-sse-auto               270.267        32768
        64 tangent-x86-asm           253.495        32768
        64 tangent-sse               704.312        32768
        64 tangent-sse3              710.652        32768
        64 ffmpeg-avtx               304.610        32768
        64 ffmpeg-sse               1142.694        32768
       128 lane4-avx2-fma            326.718        16384
       128 lane2-sse                 627.992        16384
       128 lane4-sse                 639.360        16384
       128 hw-sse-auto               609.696        16384
       128 tangent-x86-asm           588.237        16384
       128 tangent-sse              1463.722        16384
       128 tangent-sse3             1449.736        16384
       128 ffmpeg-avtx               563.216        16384
       128 ffmpeg-sse               2601.206        16384
       256 lane4-avx2-fma            622.957         8192
       256 lane2-sse                1326.928         8192
       256 lane4-sse                1265.033         8192
       256 hw-sse-auto              1265.508         8192
       256 tangent-x86-asm          1178.512         8192
       256 tangent-sse              2918.302         8192
       256 tangent-sse3             2902.468         8192
       256 ffmpeg-avtx              1170.188         8192
       256 ffmpeg-sse               6085.385         8192
       512 lane4-avx2-fma           1415.706         4096
       512 lane2-sse                3122.584         4096
       512 lane4-sse                2997.211         4096
       512 hw-sse-auto              2961.912         4096
       512 tangent-x86-asm          2787.304         4096
       512 tangent-sse              6660.679         4096
       512 tangent-sse3             6590.596         4096
       512 ffmpeg-avtx              2389.248         4096
       512 ffmpeg-sse              12315.419         4096
      1024 lane4-avx2-fma           3292.849         2048
      1024 lane2-sse                7082.899         2048
      1024 lane4-sse                6266.788         2048
      1024 hw-sse-auto              6679.217         2048
      1024 tangent-x86-asm          6275.907         2048
      1024 tangent-sse             13760.882         2048
      1024 tangent-sse3            13692.448         2048
      1024 ffmpeg-avtx              5576.245         2048
      1024 ffmpeg-sse              28077.507         2048
      2048 lane4-avx2-fma           9161.398         1024
      2048 lane2-sse               18115.039         1024
      2048 lane4-sse               15103.838         1024
      2048 hw-sse-auto             15382.576         1024
      2048 tangent-x86-asm         14393.359         1024
      2048 tangent-sse             30578.480         1024
      2048 tangent-sse3            29113.029         1024
      2048 ffmpeg-avtx             12615.154         1024
      2048 ffmpeg-sse              60764.838         1024
      4096 lane4-avx2-fma          21124.367          512
      4096 lane2-sse               39442.324          512
      4096 lane4-sse               33799.938          512
      4096 hw-sse-auto             33583.773          512
      4096 tangent-x86-asm         33687.414          512
      4096 tangent-sse             70346.211          512
      4096 tangent-sse3            67870.875          512
      4096 ffmpeg-avtx             31452.832          512
      4096 ffmpeg-sse             138367.914          512
      8192 lane4-avx2-fma          49913.977          256
      8192 lane2-sse               91709.750          256
      8192 lane4-sse               79413.008          256
      8192 hw-sse-auto             75847.922          256
      8192 tangent-x86-asm         74129.523          256
      8192 tangent-sse            150868.180          256
      8192 tangent-sse3           148800.188          256
      8192 ffmpeg-avtx             71602.062          256
      8192 ffmpeg-sse             296693.711          256
