       N algorithm                median      minimum      maximum     spread
      16 lane4-avx2-fma           47.596       46.487       48.148      3.57%
      16 lane2-sse                62.986       61.738       63.830      3.39%
      16 lane4-sse                68.201       67.011       68.960      2.91%
      16 hw-sse-auto              65.024       64.849       66.814      3.03%
      16 tangent-x86-asm          67.480       66.341       68.415      3.13%
      16 tangent-sse             173.002      168.483      188.120     11.66%
      16 tangent-sse3            169.300      166.321      173.711      4.44%
      16 ffmpeg-avtx              92.203       90.175       93.507      3.70%
      16 ffmpeg-sse              213.342      210.960      221.880      5.18%
      32 lane4-avx2-fma           78.218       77.239       79.433      2.84%
      32 lane2-sse               134.116      130.246      136.578      4.86%
      32 lane4-sse               144.222      141.367      146.710      3.78%
      32 hw-sse-auto             142.724      137.675      144.927      5.27%
      32 tangent-x86-asm         133.730      130.431      136.735      4.83%
      32 tangent-sse             340.658      336.922      358.162      6.30%
      32 tangent-sse3            341.755      332.961      512.950     54.06%
      32 ffmpeg-avtx             147.701      139.643      194.161     39.04%
      32 ffmpeg-sse              531.011      514.231      548.747      6.71%
      64 lane4-avx2-fma          156.835      153.442      160.065      4.32%
      64 lane2-sse               259.969      257.710      263.023      2.06%
      64 lane4-sse               290.784      286.945      298.005      3.85%
      64 hw-sse-auto             268.112      262.810      270.267      2.84%
      64 tangent-x86-asm         258.041      253.495      261.798      3.28%
      64 tangent-sse             673.019      634.469      704.312     11.01%
      64 tangent-sse3            654.684      643.597      710.652     10.42%
      64 ffmpeg-avtx             285.353      277.621      304.610      9.72%
      64 ffmpeg-sse             1115.677     1081.125     1155.869      6.91%
     128 lane4-avx2-fma          308.293      305.217      326.718      7.04%
     128 lane2-sse               623.207      617.946      632.990      2.43%
     128 lane4-sse               631.330      604.965      639.360      5.69%
     128 hw-sse-auto             604.377      602.637      609.696      1.17%
     128 tangent-x86-asm         560.913      555.830      588.237      5.83%
     128 tangent-sse            1423.545     1373.838     1463.722      6.54%
     128 tangent-sse3           1423.211     1377.216     1449.736      5.27%
     128 ffmpeg-avtx             510.784      505.804      563.216     11.35%
     128 ffmpeg-sse             2473.081     2385.958     2601.206      9.02%
     256 lane4-avx2-fma          622.568      618.613      634.135      2.51%
     256 lane2-sse              1319.240     1306.411     1349.089      3.27%
     256 lane4-sse              1265.660     1250.544     1271.312      1.66%
     256 hw-sse-auto            1262.342     1255.650     1289.037      2.66%
     256 tangent-x86-asm        1210.676     1169.904     1490.228     27.38%
     256 tangent-sse            3057.748     2918.302     4270.773     46.34%
     256 tangent-sse3           2930.390     2900.435     3021.791      4.18%
     256 ffmpeg-avtx            1159.936     1108.200     1388.428     25.29%
     256 ffmpeg-sse             6043.106     5805.071     6149.185      5.93%
     512 lane4-avx2-fma         1442.680     1415.706     1462.908      3.33%
     512 lane2-sse              3222.506     3122.584     3292.148      5.43%
     512 lane4-sse              3018.343     2936.517     3113.836      6.04%
     512 hw-sse-auto            2977.457     2961.912     2990.277      0.96%
     512 tangent-x86-asm        2832.756     2787.304     2921.115      4.80%
     512 tangent-sse            6527.856     6479.346     6660.679      2.80%
     512 tangent-sse3           6514.294     6234.330     6760.858      8.45%
     512 ffmpeg-avtx            2383.605     2330.987     2420.090      3.82%
     512 ffmpeg-sse            12362.305    12004.441    12795.546      6.59%
    1024 lane4-avx2-fma         3285.023     3275.812     3305.326      0.90%
    1024 lane2-sse              7218.766     7082.899     7470.918      5.48%
    1024 lane4-sse              6225.644     6106.918     6320.467      3.50%
    1024 hw-sse-auto            6193.830     6040.841     6679.217     10.57%
    1024 tangent-x86-asm        6326.064     6257.590     6551.964      4.70%
    1024 tangent-sse           14062.789    13760.882    14338.998      4.20%
    1024 tangent-sse3          13811.762    13526.266    14012.227      3.59%
    1024 ffmpeg-avtx            5515.812     5426.247     5576.245      2.76%
    1024 ffmpeg-sse            27914.296    27599.100    28255.424      2.38%
    2048 lane4-avx2-fma         9033.735     8868.297     9181.143      3.53%
    2048 lane2-sse             17530.151    16900.434    18115.039      7.19%
    2048 lane4-sse             14944.309    14708.982    15105.791      2.70%
    2048 hw-sse-auto           15200.054    14660.268    15404.984      5.08%
    2048 tangent-x86-asm       13822.885    13087.738    14393.359      9.98%
    2048 tangent-sse           29804.983    28871.914    30578.480      5.91%
    2048 tangent-sse3          28832.083    28552.566    29113.029      1.96%
    2048 ffmpeg-avtx           12507.436    12052.277    12615.154      4.67%
    2048 ffmpeg-sse            60847.474    58673.396    66170.332     12.78%
    4096 lane4-avx2-fma        21282.591    21079.594    22773.691      8.04%
    4096 lane2-sse             38107.908    36834.008    39442.324      7.08%
    4096 lane4-sse             32837.148    32255.137    33799.938      4.79%
    4096 hw-sse-auto           33214.091    31651.012    33583.773      6.11%
    4096 tangent-x86-asm       32629.447    31451.773    33687.414      7.11%
    4096 tangent-sse           65237.344    62465.352    70346.211     12.62%
    4096 tangent-sse3          65486.325    63309.320    67870.875      7.21%
    4096 ffmpeg-avtx           30509.271    29719.664    31452.832      5.83%
    4096 ffmpeg-sse           135536.287   132007.555   140187.637      6.20%
    8192 lane4-avx2-fma        49251.625    48458.250    50598.297      4.42%
    8192 lane2-sse             89751.406    85813.094    91709.750      6.87%
    8192 lane4-sse             78426.246    74806.695    79413.008      6.16%
    8192 hw-sse-auto           76242.367    75263.070    77000.742      2.31%
    8192 tangent-x86-asm       75494.246    74129.523    78093.688      5.35%
    8192 tangent-sse          150729.946   149286.375   156759.781      5.01%
    8192 tangent-sse3         145925.234   140472.156   151262.289      7.68%
    8192 ffmpeg-avtx           71503.219    69173.633    73929.805      6.88%
    8192 ffmpeg-sse           292147.015   282041.430   316108.773     12.08%
