FFmpeg AVTX cycles/execute (median, adapter copies included)
         N  median cycles   iterations  samples
        16         88.013        65536       31
        32        125.025        32768       31
        64        270.705        16384       31
       128        506.604         8192       31
       256       1118.587         4096       31
       512       2343.263         2048       31
      1024       5334.416         1024       31
      2048      12290.488          512       31
      4096      29583.367          256       31
      8192      69133.438          128       31
