power,n,pair,cpu,vperm_cycles,vinsert_cycles,change_percent
6,64,1,3,275.324,272.706,-0.950880
6,64,2,2,261.514,262.001,0.186223
6,64,3,3,271.975,271.151,-0.302969
6,64,4,2,283.949,259.488,-8.614575
6,64,5,3,273.988,271.831,-0.787261
6,64,6,2,264.000,264.518,0.196212
6,64,7,3,272.761,273.647,0.324826
6,64,8,2,264.862,273.526,3.271137
6,64,9,3,272.598,272.349,-0.091343
6,64,10,2,270.797,276.462,2.091973
7,128,1,3,517.600,514.047,-0.686437
7,128,2,2,505.278,507.861,0.511204
7,128,3,3,536.022,516.039,-3.728019
7,128,4,2,511.896,519.274,1.441308
7,128,5,3,534.218,518.162,-3.005515
7,128,6,2,508.032,506.598,-0.282266
7,128,7,3,524.653,513.548,-2.116637
7,128,8,2,509.722,511.601,0.368632
7,128,9,3,510.557,511.260,0.137693
7,128,10,2,504.473,501.360,-0.617080
8,256,1,3,1063.170,1087.763,2.313177
8,256,2,2,1047.547,1059.816,1.171212
8,256,3,3,1089.086,1089.873,0.072262
8,256,4,2,1056.812,1055.654,-0.109575
8,256,5,3,1097.032,1101.236,0.383216
8,256,6,2,1082.447,1090.500,0.743963
8,256,7,3,1076.545,1098.575,2.046361
8,256,8,2,1050.323,1046.253,-0.387500
8,256,9,3,1104.896,1097.107,-0.704953
8,256,10,2,1034.699,1080.250,4.402343
9,512,1,3,2350.472,2362.022,0.491391
9,512,2,2,2213.480,2278.828,2.952274
9,512,3,3,2338.330,2338.984,0.027969
9,512,4,2,2317.806,2293.439,-1.051296
9,512,5,3,2315.146,2340.424,1.091853
9,512,6,2,2209.788,2257.641,2.165502
9,512,7,3,2306.142,2304.920,-0.052989
9,512,8,2,2213.136,2295.677,3.729595
9,512,9,3,2343.267,2337.695,-0.237788
9,512,10,2,2328.921,2321.918,-0.300697
10,1024,1,3,5520.600,5332.516,-3.406949
10,1024,2,2,5254.383,5685.707,8.208842
10,1024,3,3,5463.307,5277.049,-3.409254
10,1024,4,2,5488.561,5321.299,-3.047465
10,1024,5,3,5280.814,5297.291,0.312016
10,1024,6,2,5404.338,5301.691,-1.899345
10,1024,7,3,5367.371,5348.682,-0.348197
10,1024,8,2,5306.135,5338.859,0.616720
10,1024,9,3,5593.236,5558.334,-0.624004
10,1024,10,2,5692.279,5439.953,-4.432776
11,2048,1,3,12560.234,12365.516,-1.550274
11,2048,2,2,12308.797,12065.664,-1.975278
11,2048,3,3,12435.258,12324.922,-0.887284
11,2048,4,2,12112.199,14088.367,16.315518
11,2048,5,3,12973.883,12525.004,-3.459866
11,2048,6,2,12733.617,12328.684,-3.180031
11,2048,7,3,12566.461,12325.809,-1.915034
11,2048,8,2,11932.047,12008.668,0.642145
11,2048,9,3,12242.797,12163.461,-0.648022
11,2048,10,2,11655.395,11931.484,2.368766
12,4096,1,3,29733.781,30248.000,1.729410
12,4096,2,2,29539.547,29910.156,1.254620
12,4096,3,3,30301.109,30562.719,0.863368
12,4096,4,2,31640.477,29730.734,-6.035759
12,4096,5,3,31249.242,31176.148,-0.233906
12,4096,6,2,29603.242,29212.414,-1.320220
12,4096,7,3,29886.594,31021.406,3.797060
12,4096,8,2,29942.992,29327.125,-2.056798
12,4096,9,3,31706.266,29411.430,-7.237800
12,4096,10,2,29157.062,29738.430,1.993918
13,8192,1,3,73562.812,70206.328,-4.562746
13,8192,2,2,68501.469,69852.859,1.972790
13,8192,3,3,68982.797,68859.250,-0.179098
13,8192,4,2,71676.016,72759.672,1.511881
13,8192,5,3,71727.250,71180.016,-0.762937
13,8192,6,2,69244.844,70212.172,1.396968
13,8192,7,3,71026.016,70961.328,-0.091076
13,8192,8,2,67006.000,69882.656,4.293132
13,8192,9,3,71638.109,70424.344,-1.694301
13,8192,10,2,71264.438,73071.031,2.535055
