FFmpeg AVTX cycles/execute (median, adapter copies included)
         N  median cycles   iterations  samples
        16         89.827        65536       31
        32        124.862        32768       31
        64        273.527        16384       31
       128        506.545         8192       31
       256       1114.785         4096       31
       512       2315.946         2048       31
      1024       5313.250         1024       31
      2048      12291.125          512       31
      4096      29699.211          256       31
      8192      67968.766          128       31
