
Forward benchmarks (median execution time; plan/setup excluded)
FFmpeg AVTX native dispatch and an SSE4.2-and-below restricted plan are reported through N=131072.
         N  algorithm                   median us    speedup   theory FLOPs     GFLOP/s  samples
        16  radix-2                         0.168     1.000x            176       1.048    16384
        16  split-radix                     0.197     0.853x            168       0.853    16384
        16  tangent                         0.188     0.894x            168       0.894    16384
        16  tangent-x86-asm                 0.065     2.585x            168       2.585    16384
        16  tangent-sse                     0.083     2.024x            168       2.024    16384
        16  tangent-sse2                    0.083     2.024x            168       2.024    16384
        16  tangent-sse3                    0.084     2.000x            168       2.000    16384
        16  tangent-ssse3                   0.086     1.953x            168       1.953    16384
        16  tangent-sse4.1                  0.086     1.953x            168       1.953    16384
        16  tangent-sse4.2                  0.083     2.024x            168       2.024    16384
        16  lane4-c                         0.117     1.436x            n/a         n/a    16384
        16  lane4-sse                       0.045     3.733x            n/a         n/a    16384
        16  lane4-sse2                      0.046     3.652x            n/a         n/a    16384
        16  lane4-sse3                      0.048     3.500x            n/a         n/a    16384
        16  lane4-ssse3                     0.046     3.652x            n/a         n/a    16384
        16  lane4-sse4.1                    0.047     3.574x            n/a         n/a    16384
        16  lane4-sse4.2                    0.047     3.574x            n/a         n/a    16384
        16  lane4-avx                       0.038     4.421x            n/a         n/a    16384
        16  lane4-avx-fma                   0.038     4.421x            n/a         n/a    16384
        16  lane4-avx2                      0.039     4.308x            n/a         n/a    16384
        16  lane4-avx2-fma                  0.038     4.421x            n/a         n/a    16384
        16  lane2-sse                       0.046     3.652x            n/a         n/a    16384
        16  ffmpeg-avtx                     0.059     2.847x            n/a         n/a    16384
        16  lane8-avx2-fma                  0.046     3.652x            n/a         n/a    16384
        16  hw-sse-auto                     0.048     3.500x            n/a         n/a    16384
        16  ffmpeg-sse                      0.104     1.615x            n/a         n/a    16384
        16  scaled-h16-hybrid               0.197     0.853x            n/a         n/a    16384
        16  scaled-h16-paired-avx2          0.197     0.853x            n/a         n/a    16384

        32  radix-2                         0.368     1.000x            496       1.348    16384
        32  split-radix                     0.408     0.902x            456       1.118    16384
        32  tangent                         0.243     1.514x            456       1.877    16384
        32  tangent-x86-asm                 0.066     5.576x            456       6.909    16384
        32  tangent-sse                     0.140     2.629x            456       3.257    16384
        32  tangent-sse2                    0.139     2.647x            456       3.281    16384
        32  tangent-sse3                    0.145     2.538x            456       3.145    16384
        32  tangent-ssse3                   0.146     2.521x            456       3.123    16384
        32  tangent-sse4.1                  0.145     2.538x            456       3.145    16384
        32  tangent-sse4.2                  0.142     2.592x            456       3.211    16384
        32  lane4-c                         0.227     1.621x            n/a         n/a    16384
        32  lane4-sse                       0.073     5.041x            n/a         n/a    16384
        32  lane4-sse2                      0.072     5.111x            n/a         n/a    16384
