n,algorithm,median_us,minimum_us,samples,theoretical_flops,speedup_vs_radix2,checksum
16,radix-2,0.168000000,0.165000000,16384,176,1.000000,0.57389920949935913
16,split-radix,0.202000000,0.193000000,16384,168,0.831683,0.57389920949935913
16,tangent,0.120000000,0.117000000,16384,168,1.400000,0.57389920949935913
16,tangent-x86-asm,0.047000000,0.044000000,16384,168,3.574468,0.57389932870864868
16,tangent-sse,0.084000000,0.080000000,16384,168,2.000000,0.57389920949935913
16,tangent-sse2,0.083000000,0.080000000,16384,168,2.024096,0.57389920949935913
16,tangent-sse3,0.084000000,0.079000000,16384,168,2.000000,0.57389920949935913
16,tangent-ssse3,0.087000000,0.083000000,16384,168,1.931034,0.57389920949935913
16,tangent-sse4.1,0.086000000,0.082000000,16384,168,1.953488,0.57389920949935913
16,tangent-sse4.2,0.083000000,0.080000000,16384,168,2.024096,0.57389920949935913
16,lane4-c,0.114000000,0.110000000,16384,0,1.473684,0.57389926910400391
16,lane4-sse,0.047000000,0.044000000,16384,0,3.574468,0.57389926910400391
16,lane4-sse2,0.046000000,0.042000000,16384,0,3.652174,0.57389926910400391
16,lane4-sse3,0.050000000,0.043000000,16384,0,3.360000,0.57389926910400391
16,lane4-ssse3,0.047000000,0.044000000,16384,0,3.574468,0.57389926910400391
16,lane4-sse4.1,0.046000000,0.043000000,16384,0,3.652174,0.57389926910400391
16,lane4-sse4.2,0.065000000,0.045000000,16384,0,2.584615,0.57389926910400391
16,lane4-avx,0.053000000,0.040000000,16384,0,3.169811,0.57389926910400391
16,lane4-avx-fma,0.038000000,0.036000000,16384,0,4.421053,0.57389926910400391
16,lane4-avx2,0.038000000,0.035000000,16384,0,4.421053,0.57389926910400391
16,lane4-avx2-fma,0.048000000,0.037000000,16384,0,3.500000,0.57389926910400391
16,lane2-sse,0.045000000,0.043000000,16384,0,3.733333,0.57389920949935913
16,ffmpeg-avtx,0.058000000,0.056000000,16384,0,2.896552,0.57389920949935913
16,lane8-avx2-fma,0.049000000,0.045000000,16384,0,3.428571,0.57389932870864868
16,hw-sse-auto,0.053000000,0.045000000,16384,0,3.169811,0.57389920949935913
16,ffmpeg-sse,0.101000000,0.097000000,16384,0,1.663366,0.57389920949935913
16,scaled-h16-hybrid,0.197000000,0.193000000,16384,0,0.852792,0.57389920949935913
16,scaled-h16-paired-avx2,0.204000000,0.193000000,16384,0,0.823529,0.57389920949935913
32,radix-2,0.358000000,0.354000000,16384,496,1.000000,-4.2921977043151855
