n,algorithm,median_us,minimum_us,maximum_us,spread_percent
16,radix-2,0.168000000,0.168000000,0.172000000,2.381
16,split-radix,0.197000000,0.197000000,0.202000000,2.538
16,tangent,0.120000000,0.120000000,0.188000000,56.667
16,tangent-x86-asm,0.047000000,0.046000000,0.065000000,41.304
16,tangent-sse,0.084000000,0.083000000,0.086000000,3.614
16,tangent-sse2,0.083000000,0.083000000,0.086000000,3.614
16,tangent-sse3,0.084000000,0.083000000,0.084000000,1.205
16,tangent-ssse3,0.086000000,0.084000000,0.087000000,3.571
16,tangent-sse4.1,0.086000000,0.083000000,0.086000000,3.614
16,tangent-sse4.2,0.083000000,0.083000000,0.084000000,1.205
16,lane4-c,0.114000000,0.114000000,0.117000000,2.632
16,lane4-sse,0.046000000,0.045000000,0.047000000,4.444
16,lane4-sse2,0.046000000,0.046000000,0.067000000,45.652
16,lane4-sse3,0.048000000,0.046000000,0.050000000,8.696
16,lane4-ssse3,0.046000000,0.046000000,0.047000000,2.174
16,lane4-sse4.1,0.046000000,0.046000000,0.047000000,2.174
16,lane4-sse4.2,0.056000000,0.047000000,0.065000000,38.298
16,lane4-avx,0.053000000,0.038000000,0.053000000,39.474
16,lane4-avx-fma,0.038000000,0.038000000,0.038000000,0.000
16,lane4-avx2,0.038000000,0.038000000,0.039000000,2.632
16,lane4-avx2-fma,0.038000000,0.038000000,0.048000000,26.316
16,lane2-sse,0.046000000,0.045000000,0.067000000,48.889
16,ffmpeg-avtx,0.059000000,0.058000000,0.059000000,1.724
16,lane8-avx2-fma,0.049000000,0.046000000,0.049000000,6.522
16,hw-sse-auto,0.048000000,0.048000000,0.053000000,10.417
16,ffmpeg-sse,0.104000000,0.101000000,0.124000000,22.772
16,scaled-h16-hybrid,0.197000000,0.197000000,0.203000000,3.046
16,scaled-h16-paired-avx2,0.197000000,0.197000000,0.204000000,3.553
32,radix-2,0.368000000,0.358000000,0.371000000,3.631
32,split-radix,0.408000000,0.406000000,0.549000000,35.222
32,tangent,0.395000000,0.243000000,0.418000000,72.016
32,tangent-x86-asm,0.066000000,0.066000000,0.067000000,1.515
32,tangent-sse,0.140000000,0.138000000,0.140000000,1.449
32,tangent-sse2,0.139000000,0.139000000,0.143000000,2.878
32,tangent-sse3,0.186000000,0.145000000,0.229000000,57.931
32,tangent-ssse3,0.141000000,0.141000000,0.146000000,3.546
32,tangent-sse4.1,0.142000000,0.140000000,0.145000000,3.571
32,tangent-sse4.2,0.142000000,0.141000000,0.192000000,36.170
32,lane4-c,0.227000000,0.220000000,0.228000000,3.636
32,lane4-sse,0.073000000,0.072000000,0.073000000,1.389
32,lane4-sse2,0.073000000,0.072000000,0.074000000,2.778
32,lane4-sse3,0.075000000,0.072000000,0.076000000,5.556
32,lane4-ssse3,0.076000000,0.075000000,0.119000000,58.667
32,lane4-sse4.1,0.087000000,0.073000000,0.105000000,43.836
32,lane4-sse4.2,0.073000000,0.073000000,0.075000000,2.740
32,lane4-avx,0.052000000,0.051000000,0.052000000,1.961
32,lane4-avx-fma,0.051000000,0.051000000,0.053000000,3.922
32,lane4-avx2,0.052000000,0.051000000,0.053000000,3.922
32,lane4-avx2-fma,0.052000000,0.051000000,0.065000000,27.451
32,lane2-sse,0.069000000,0.069000000,0.093000000,34.783
32,ffmpeg-avtx,0.072000000,0.072000000,0.074000000,2.778
32,lane8-avx2-fma,0.074000000,0.073000000,0.087000000,19.178
32,hw-sse-auto,0.070000000,0.070000000,0.070000000,0.000
32,ffmpeg-sse,0.196000000,0.192000000,0.198000000,3.125
32,scaled-h16-hybrid,0.387000000,0.385000000,0.402000000,4.416
32,scaled-h16-paired-avx2,0.387000000,0.385000000,0.620000000,61.039
64,radix-2,0.789000000,0.788000000,0.789000000,0.127
64,split-radix,0.928000000,0.894000000,1.211000000,35.459
64,tangent,0.527000000,0.527000000,0.530000000,0.569
64,tangent-x86-asm,0.112000000,0.112000000,0.114000000,1.786
64,tangent-sse,0.249000000,0.249000000,0.259000000,4.016
64,tangent-sse2,0.250000000,0.249000000,0.250000000,0.402
64,tangent-sse3,0.254000000,0.247000000,0.255000000,3.239
64,tangent-ssse3,0.248000000,0.248000000,0.248000000,0.000
64,tangent-sse4.1,0.255000000,0.255000000,0.256000000,0.392
64,tangent-sse4.2,0.249000000,0.248000000,0.256000000,3.226
64,lane4-c,0.461000000,0.460000000,0.461000000,0.217
64,lane4-sse,0.121000000,0.121000000,0.121000000,0.000
64,lane4-sse2,0.121000000,0.120000000,0.122000000,1.667
64,lane4-sse3,0.123000000,0.121000000,0.124000000,2.479
64,lane4-ssse3,0.121000000,0.121000000,0.125000000,3.306
64,lane4-sse4.1,0.120000000,0.120000000,0.124000000,3.333
64,lane4-sse4.2,0.122000000,0.122000000,0.125000000,2.459
64,lane4-avx,0.078000000,0.077000000,0.078000000,1.299
64,lane4-avx-fma,0.078000000,0.078000000,0.090000000,15.385
64,lane4-avx2,0.080000000,0.079000000,0.083000000,5.063
64,lane4-avx2-fma,0.078000000,0.078000000,0.079000000,1.282
64,lane2-sse,0.115000000,0.114000000,0.156000000,36.842
